YEAR,SUB_REG,ST,SP_CODE,MODE_FX,AREA_X,ESTCLAIM,ESTCLVAR,ESTHARV,ESTHVAR,LANDING,LAND_VAR,ESTREL,ESTRLVAR,TOT_CAT,TOT_VAR,LBS_AB1,VAR_LBS,WGT_AB1,VAR_WAB1,MISS_FISH,ALT_FLAG,wave,MODE,AREA,STATUS,DOWNLOAD
2010,4,23,8850030302,3,1,301120.75356,19260001560,1074649.8032,318022047400,1375770.5567,444865108463,382016.99866,44445763480,1757787.5554,610090768652,814121.69237,196790882363,369283.17716,40489775320,0,0,7,SHORE,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2010,4,23,8850030302,3,5,102032.26142,9536892101.4,1638.9687667,2753504.4716,103671.23018,9553561686.7,19839.71495,291879552.99,123510.94513,9993492183.3,26227.385573,620205817.51,11896.664054,127607508.55,0,0,7,SHORE,INLAND,FINAL,24MAR2021:12:06:10
2010,4,23,8850030302,4,2,32.016731515,1088.4832301,0,0,32.016731515,1088.4832301,0,0,32.016731515,1088.4832301,28.233634519,846.45004262,12.806692606,174.15731681,0,0,7,PARTY BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2010,4,23,8850030302,5,1,1779.5158039,2779082.9373,21260.213588,81931292.941,23039.729392,81702525.886,1030.778991,724201.23533,24070.508383,82947862.304,7609.2888557,7238462.4821,3451.5507828,1489315.5417,0,0,7,CHARTER BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2010,4,23,8850030302,5,2,0,0,27953.25,36216118.176,27953.25,36216118.176,0,0,27953.25,36216118.176,9243.8602425,3960445.3321,4192.9875,814862.65896,0,0,7,CHARTER BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2010,4,23,8850030302,5,5,0,0,1232.1306706,1308507.5463,1232.1306706,1308507.5463,0,0,1232.1306706,1308507.5463,399.04585324,136923.02018,181.00601163,28171.947077,0,0,7,CHARTER BOAT,INLAND,FINAL,24MAR2021:12:06:10
2010,4,23,8850030302,7,1,429336.95049,37034647761,1129167.8406,102591979775,1558504.7911,154149425066,173105.8175,6993446559.7,1731610.6086,198358179485,565555.2667,25422509250,256534.18611,5230687902,0,0,7,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2010,4,23,8850030302,7,2,578.35509563,343094.37696,114789.46722,5482734443.8,115367.82232,5483077538.2,0,0,115367.82232,5483077538.2,15577.181915,114181272.88,7065.7633654,23492826.645,0,0,7,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2010,4,23,8850030302,7,5,1103.9367356,1214855.9665,195483.9321,7297659237.7,196587.86883,7311883163.1,66722.882724,2012785844.5,263310.75156,13374804747,77713.999094,1548837026.8,35250.838743,318673621.82,0,0,7,PRIVATE/RENTAL BOAT,INLAND,FINAL,24MAR2021:12:06:10
2010,4,25,8850030302,3,1,0,0,1686097.9786,1.2640013E12,1686097.9786,1.2640013E12,0,0,1686097.9786,1.2640013E12,926342.23846,381526621182,420186.08295,78499201714,0,0,7,SHORE,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2010,4,25,8850030302,3,5,0,0,21515.886429,266540916.9,21515.886429,266540916.9,0,0,21515.886429,266540916.9,10946.275357,70877192.232,4965.1979304,14583000.769,0,0,7,SHORE,INLAND,FINAL,24MAR2021:12:06:10
2010,4,25,8850030302,4,2,1579.4799618,1797373.1804,0,0,1579.4799618,1797373.1804,32.181142048,1166.1653883,1611.6611039,1799251.0835,762.10168705,482838.24304,345.68705754,99344.094307,0,0,7,PARTY BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2010,4,25,8850030302,5,2,0,0,570.60703796,323626.40893,570.60703796,323626.40893,0,0,570.60703796,323626.40893,167.05847335,27740.016994,75.777226413,5707.5157242,0,0,7,CHARTER BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2010,4,25,8850030302,7,1,115711.01248,1285048592.9,820544.49121,214605876936,936255.50369,220108641782,521445.52612,249414915856,1457701.0298,476706629915,511616.74174,61113864390,232067.83169,12574193521,0,0,7,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2010,4,25,8850030302,7,2,0,0,256247.31411,10616320152,256247.31411,10616320152,64659.23693,1797425329.4,320906.55104,14935248439,143333.44032,3384982082.1,65015.622029,696460945.35,0,0,7,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2010,4,25,8850030302,7,5,63458.724876,3143856139.8,9040794.6157,2.7488618E13,9104253.3405,2.7486972E13,157420.42005,9428034930.1,9261673.7606,2.7658048E13,5133552.1443,8.0412881E12,2328563.9773,1.6544971E12,0,0,7,PRIVATE/RENTAL BOAT,INLAND,FINAL,24MAR2021:12:06:10
2010,4,33,8850030302,3,5,0,0,858.22763582,658713.4576,858.22763582,658713.4576,0,0,858.22763582,658713.4576,283.80729689,72034.187255,128.73414537,14821.052796,0,0,7,SHORE,INLAND,FINAL,24MAR2021:12:06:10
2010,4,33,8850030302,4,1,58001.202798,1360518512,429.47235797,186839.0277,58430.675156,1359056008,1047.8121874,282013.49182,59478.487344,1356183565.6,25056.352863,188423751.58,11365.487101,38768235.982,0,0,7,PARTY BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
