YEAR,WAVE,SUB_REG,ST,SP_CODE,MODE_FX,AREA_X,ESTCLAIM,ESTCLVAR,ESTHARV,ESTHVAR,LANDING,LAND_VAR,ESTREL,ESTRLVAR,TOT_CAT,TOT_VAR,LBS_AB1,VAR_LBS,WGT_AB1,VAR_WAB1,MISS_FISH,ALT_FLAG,MODE,AREA,STATUS,DOWNLOAD
2010,3,4,23,8850030302,3,1,0,0,117808.6636,12122209659,117808.6636,12122209659,0,0,117808.6636,12122209659,35711.634719,1113901512.2,16198.691245,229185526.36,0,0,SHORE,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2010,3,4,23,8850030302,3,5,4141.6351577,17582802.929,1638.9687667,2753504.4716,5780.6039244,34252388.241,3524.6105734,12285614.882,9305.2144978,47147764.408,1274.3919412,1664755.522,578.06039244,342523.88241,0,0,SHORE,INLAND,FINAL,24MAR2021:12:06:10
2010,3,4,23,8850030302,5,1,40.573782293,1784.4590318,1510.5022826,627420.66929,1551.0760649,658461.02414,617.02512441,510596.386,2168.1011893,1579592.3817,1080.8041285,336545.02725,490.24953665,69244.227043,0,0,CHARTER BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2010,3,4,23,8850030302,7,1,172794.75059,10655570193,581761.84666,61011753274,754556.59725,98698187928,47807.384024,2605867442.4,802363.98127,123329845459,329434.71264,18187302364,149430.60539,3742042200.2,0,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2010,3,4,23,8850030302,7,2,578.35509563,343094.37696,0,0,578.35509563,343094.37696,0,0,578.35509563,343094.37696,191.25624657,37519.386177,86.753264344,7719.6234816,0,0,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2010,3,4,23,8850030302,7,5,1103.9367356,1214855.9665,118335.55917,5306698837.2,119439.49591,5320922762.6,40465.072206,1404688392.7,159904.56811,10362535681,58727.558399,1430319019,26638.64574,294288510.82,0,0,PRIVATE/RENTAL BOAT,INLAND,FINAL,24MAR2021:12:06:10
2010,3,4,25,8850030302,4,2,1579.4799618,1797373.1804,0,0,1579.4799618,1797373.1804,32.181142048,1166.1653883,1611.6611039,1799251.0835,762.10168705,482838.24304,345.68705754,99344.094307,0,0,PARTY BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2010,3,4,25,8850030302,5,2,0,0,570.60703796,323626.40893,570.60703796,323626.40893,0,0,570.60703796,323626.40893,167.05847335,27740.016994,75.777226413,5707.5157242,0,0,CHARTER BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2010,3,4,25,8850030302,7,1,0,0,112623.51861,11027026867,112623.51861,11027026867,521445.52612,249414915856,634069.04473,267625015000,62486.268629,3394450131,28343.585516,698408998.88,0,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2010,3,4,25,8850030302,7,2,0,0,14330.642017,186473008.61,14330.642017,186473008.61,34923.872535,1014277468.5,49254.514552,1282726834.4,7898.3333477,56644220.072,3582.6605042,11654563.038,0,0,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
